time,tag_id, distance,index, min, sec, tag_id, distance, times, interval, absence
60,CC22,499,3,42,29,52258,499,2,379,7
61,BBEE,393,1,42,30,48110,393,1,84,0
61,BBFF,186,2,42,30,48127,186,1,87,0
61,CC66,231,3,42,30,52326,231,3,95,14
61,CC33,210,4,42,30,52275,210,4,182,1
61,BBDD,469,5,42,30,48093,469,2,404,0
61,BBCC,240,6,42,30,48076,240,4,201,0
62,BBEE,405,1,42,31,48110,405,1,85,0
62,BBFF,179,2,42,31,48127,179,1,88,0
62,CC22,480,3,42,31,52258,480,2,380,7
63,BBEE,408,1,42,32,48110,408,1,86,0
63,BBFF,191,2,42,32,48127,191,1,89,0
63,BBDD,464,3,42,32,48093,464,2,405,0
64,BBEE,419,1,42,33,48110,419,1,87,0
64,BBFF,184,2,42,33,48127,184,1,90,0
64,CC66,220,3,42,33,52326,220,3,96,14
64,CC22,492,4,42,33,52258,492,2,381,7
65,BBEE,425,1,42,34,48110,425,1,88,0
65,BBFF,187,2,42,34,48127,187,1,91,0
65,CC33,235,3,42,34,52275,235,4,183,1
65,BBDD,460,4,42,34,48093,460,2,406,0
65,BBCC,213,5,42,34,48076,213,4,202,0
66,BBEE,439,1,42,35,48110,439,1,89,0
66,BBFF,189,2,42,35,48127,189,1,92,0
66,CC22,491,3,42,35,52258,491,2,382,7
67,BBEE,453,1,42,36,48110,453,1,90,0
67,BBFF,183,2,42,36,48127,183,1,93,0
67,BBDD,458,3,42,36,48093,458,2,407,0
68,BBEE,459,1,42,37,48110,459,1,91,0
68,BBFF,187,2,42,37,48127,187,1,94,0
68,CC22,494,3,42,37,52258,494,2,383,7
69,BBEE,473,1,42,38,48110,473,1,92,0
69,BBFF,189,2,42,38,48127,189,1,95,0
69,CC33,236,3,42,38,52275,236,4,184,1
69,BBDD,456,4,42,38,48093,456,2,408,0
69,BBCC,264,5,42,38,48076,264,4,203,0
70,BBEE,476,1,42,39,48110,476,1,93,0
70,BBFF,186,2,42,39,48127,186,1,96,0
70,CC22,494,3,42,39,52258,494,2,384,7
71,BBEE,495,1,42,40,48110,495,1,94,0
71,BBFF,185,2,42,40,48127,185,1,97,0
71,BBDD,451,3,42,40,48093,451,2,409,0
72,BBEE,503,1,42,41,48110,503,1,95,0
72,BBFF,188,2,42,41,48127,188,1,98,0
72,CC22,490,3,42,41,52258,490,2,385,7
73,BBEE,510,1,42,42,48110,510,1,96,0
73,BBFF,189,2,42,42,48127,189,1,99,0
73,CC66,236,3,42,42,52326,236,3,97,16
73,CC33,238,4,42,42,52275,238,4,185,1
73,BBDD,460,5,42,42,48093,460,2,410,0
73,BBCC,221,6,42,42,48076,221,4,204,0
74,BBEE,519,1,42,43,48110,519,1,97,0
74,BBFF,187,2,42,43,48127,187,1,100,0
74,CC22,497,3,42,43,52258,497,2,386,7
75,BBEE,532,1,42,44,48110,532,1,98,0
75,BBFF,185,2,42,44,48127,185,1,101,0
75,BBDD,454,3,42,44,48093,454,2,411,0
76,BBEE,543,1,42,45,48110,543,1,99,0
76,BBFF,185,2,42,45,48127,185,1,102,0
76,CC66,234,3,42,45,52326,234,3,98,16
76,CC22,493,4,42,45,52258,493,2,387,7
77,BBEE,551,1,42,46,48110,551,1,100,0
77,BBFF,185,2,42,46,48127,185,1,103,0
77,CC33,255,3,42,46,52275,255,4,186,1
77,BBDD,455,4,42,46,48093,455,2,412,0
77,BBCC,224,5,42,46,48076,224,4,205,0
78,BBEE,559,1,42,47,48110,559,1,101,0
78,BBFF,188,2,42,47,48127,188,1,104,0
78,CC22,494,3,42,47,52258,494,2,388,7
79,BBEE,564,1,42,48,48110,564,1,102,0
79,BBFF,184,2,42,48,48127,184,1,105,0
79,CC66,180,3,42,48,52326,180,3,99,16
79,BBDD,452,4,42,48,48093,452,2,413,0
80,BBEE,583,1,42,49,48110,583,1,103,0
80,BBFF,185,2,42,49,48127,185,1,106,0
80,CC22,498,3,42,49,52258,498,2,389,7
81,BBEE,584,1,42,50,48110,584,1,104,0
81,BBFF,188,2,42,50,48127,188,1,107,0
81,CC33,229,3,42,50,52275,229,4,187,1
81,BBDD,452,4,42,50,48093,452,2,414,0
81,BBCC,258,5,42,50,48076,258,4,206,0
82,BBEE,603,1,42,51,48110,603,1,105,0
82,BBFF,184,2,42,51,48127,184,1,108,0
82,CC22,494,3,42,51,52258,494,2,390,7
83,BBEE,614,1,42,52,48110,614,1,106,0
83,BBFF,183,2,42,52,48127,183,1,109,0
83,BBDD,450,3,42,52,48093,450,2,415,0
84,BBEE,621,1,42,53,48110,621,1,107,0
84,BBFF,185,2,42,53,48127,185,1,110,0
84,CC22,494,3,42,53,52258,494,2,391,7
85,BBEE,623,1,42,54,48110,623,1,108,0
85,BBFF,185,2,42,54,48127,185,1,111,0
85,CC66,197,3,42,54,52326,197,3,100,16
85,CC33,243,4,42,54,52275,243,4,188,1
85,BBDD,462,5,42,54,48093,462,2,416,0
85,BBCC,222,6,42,54,48076,222,4,207,0
86,BBEE,609,1,42,55,48110,609,1,109,0
86,BBFF,182,2,42,55,48127,182,1,112,0
86,CC22,491,3,42,55,52258,491,2,392,7
87,BBEE,619,1,42,56,48110,619,1,110,0
87,BBFF,191,2,42,56,48127,191,1,113,0
87,BBDD,453,3,42,56,48093,453,2,417,0
88,BBEE,622,1,42,57,48110,622,1,111,0
88,BBFF,182,2,42,57,48127,182,1,114,0
88,CC66,219,3,42,57,52326,219,3,101,16
88,CC22,503,4,42,57,52258,503,2,393,7
89,BBEE,643,1,42,58,48110,643,1,112,0
89,BBFF,186,2,42,58,48127,186,1,115,0
89,CC33,234,3,42,58,52275,234,4,189,1
89,BBDD,458,4,42,58,48093,458,2,418,0
89,BBCC,235,5,42,58,48076,235,4,208,0
90,BBEE,638,1,42,59,48110,638,1,113,0
90,BBFF,186,2,42,59,48127,186,1,116,0
90,CC22,492,3,42,59,52258,492,2,394,7
91,BBEE,647,1,43,0,48110,647,1,114,0
91,BBFF,189,2,43,0,48127,189,1,117,0
91,CC66,199,3,43,0,52326,199,3,102,16
91,BBDD,458,4,43,0,48093,458,2,419,0
92,BBFF,183,1,43,1,48127,183,1,118,0
92,CC22,496,2,43,1,52258,496,2,395,7
93,BBEE,670,1,43,2,48110,670,1,115,0
93,BBFF,187,2,43,2,48127,187,1,119,0
93,CC33,241,3,43,2,52275,241,4,190,1
93,BBDD,453,4,43,2,48093,453,2,420,0
93,BBCC,252,5,43,2,48076,252,4,209,0
94,BBEE,665,1,43,3,48110,665,1,116,0
94,BBFF,181,2,43,3,48127,181,1,120,0
94,CC66,239,3,43,3,52326,239,3,103,16
94,CC22,497,4,43,3,52258,497,2,396,7
95,BBEE,688,1,43,4,48110,688,1,117,0
95,BBFF,179,2,43,4,48127,179,1,121,0
95,BBDD,444,3,43,4,48093,444,2,421,0
96,BBEE,696,1,43,5,48110,696,1,118,0
96,BBFF,182,2,43,5,48127,182,1,122,0
96,CC22,489,3,43,5,52258,489,2,397,7
97,BBEE,711,1,43,6,48110,711,1,119,0
97,BBFF,184,2,43,6,48127,184,1,123,0
97,CC66,201,3,43,6,52326,201,3,104,16
97,CC33,234,4,43,6,52275,234,4,191,1
97,BBDD,453,5,43,6,48093,453,2,422,0
97,BBCC,233,6,43,6,48076,233,4,210,0
98,BBFF,189,1,43,7,48127,189,1,124,0
98,CC22,488,2,43,7,52258,488,2,398,7
99,BBEE,711,1,43,8,48110,711,1,120,1
99,BBFF,186,2,43,8,48127,186,1,125,0
99,BBDD,453,3,43,8,48093,453,2,423,0
100,BBEE,709,1,43,9,48110,709,1,121,1
100,BBFF,178,2,43,9,48127,178,1,126,0
100,CC22,496,3,43,9,52258,496,2,399,7
101,BBEE,711,1,43,10,48110,711,1,122,1
101,BBFF,188,2,43,10,48127,188,1,127,0
101,CC33,235,3,43,10,52275,235,4,192,1
101,BBDD,451,4,43,10,48093,451,2,424,0
101,BBCC,219,5,43,10,48076,219,4,211,0
102,BBFF,186,1,43,11,48127,186,1,128,0
102,CC22,492,2,43,11,52258,492,2,400,7
103,BBFF,180,1,43,12,48127,180,1,129,0
103,BBDD,449,2,43,12,48093,449,2,425,0
104,BBFF,182,1,43,13,48127,182,1,130,0
104,CC22,495,2,43,13,52258,495,2,401,7
105,BBFF,189,1,43,14,48127,189,1,131,0
105,CC33,242,2,43,14,52275,242,4,193,1
105,BBDD,454,3,43,14,48093,454,2,426,0
105,BBCC,229,4,43,14,48076,229,4,212,0
106,BBFF,188,1,43,15,48127,188,1,132,0
106,CC66,235,2,43,15,52326,235,3,105,18
106,CC22,505,3,43,15,52258,505,2,402,7
107,BBEE,712,1,43,16,48110,712,1,1,1
107,BBFF,187,2,43,16,48127,187,1,133,0
107,BBDD,451,3,43,16,48093,451,2,427,0
108,BBFF,179,1,43,17,48127,179,1,134,0
108,CC22,481,2,43,17,52258,481,2,403,7
109,BBFF,181,1,43,18,48127,181,1,135,0
109,CC66,232,2,43,18,52326,232,3,106,18
109,CC33,250,3,43,18,52275,250,4,194,1
109,BBDD,454,4,43,18,48093,454,2,428,0
109,BBCC,244,5,43,18,48076,244,4,213,0
110,BBEE,719,1,43,19,48110,719,1,2,1
110,BBFF,188,2,43,19,48127,188,1,136,0
110,CC22,477,3,43,19,52258,477,2,404,7
111,BBFF,183,1,43,20,48127,183,1,137,0
111,BBDD,450,2,43,20,48093,450,2,429,0
112,BBEE,715,1,43,21,48110,715,1,3,1
112,BBFF,186,2,43,21,48127,186,1,138,0
112,CC66,236,3,43,21,52326,236,3,107,18
112,CC22,494,4,43,21,52258,494,2,405,7
113,BBEE,706,1,43,22,48110,706,1,4,1
113,BBFF,185,2,43,22,48127,185,1,139,0
113,CC33,241,3,43,22,52275,241,4,195,1
113,BBDD,454,4,43,22,48093,454,2,430,0
113,BBCC,232,5,43,22,48076,232,4,214,0
114,BBEE,714,1,43,23,48110,714,1,5,1
114,BBFF,184,2,43,23,48127,184,1,140,0
114,CC22,490,3,43,23,52258,490,2,406,7
115,BBFF,181,1,43,24,48127,181,1,141,0
115,BBDD,453,2,43,24,48093,453,2,431,0
