time, tag_id, distance,index, min, sec, tag_id, distance, times, interval, absence,tag_id
69,48127,189,2,42,38,48127,189,1,95,0,BBFF
69,52275,236,3,42,38,52275,236,4,184,1,CC33
69,48093,456,4,42,38,48093,456,2,408,0,BBDD
69,48076,264,5,42,38,48076,264,4,203,0,BBCC
70,48110,476,1,42,39,48110,476,1,93,0,BBEE
70,48127,186,2,42,39,48127,186,1,96,0,BBFF
70,52258,494,3,42,39,52258,494,2,384,7,CC22
71,48110,495,1,42,40,48110,495,1,94,0,BBEE
71,48127,185,2,42,40,48127,185,1,97,0,BBFF
71,48093,451,3,42,40,48093,451,2,409,0,BBDD
72,48110,503,1,42,41,48110,503,1,95,0,BBEE
72,48127,188,2,42,41,48127,188,1,98,0,BBFF
72,52258,490,3,42,41,52258,490,2,385,7,CC22
73,48110,510,1,42,42,48110,510,1,96,0,BBEE
73,48127,189,2,42,42,48127,189,1,99,0,BBFF
73,52326,236,3,42,42,52326,236,3,97,16,CC66
73,52275,238,4,42,42,52275,238,4,185,1,CC33
73,48093,460,5,42,42,48093,460,2,410,0,BBDD
73,48076,221,6,42,42,48076,221,4,204,0,BBCC
74,48110,519,1,42,43,48110,519,1,97,0,BBEE
74,48127,187,2,42,43,48127,187,1,100,0,BBFF
74,52258,497,3,42,43,52258,497,2,386,7,CC22
75,48110,532,1,42,44,48110,532,1,98,0,BBEE
75,48127,185,2,42,44,48127,185,1,101,0,BBFF
75,48093,454,3,42,44,48093,454,2,411,0,BBDD
76,48110,543,1,42,45,48110,543,1,99,0,BBEE
76,48127,185,2,42,45,48127,185,1,102,0,BBFF
76,52326,234,3,42,45,52326,234,3,98,16,CC66
76,52258,493,4,42,45,52258,493,2,387,7,CC22
77,48110,551,1,42,46,48110,551,1,100,0,BBEE
77,48127,185,2,42,46,48127,185,1,103,0,BBFF
77,52275,255,3,42,46,52275,255,4,186,1,CC33
77,48093,455,4,42,46,48093,455,2,412,0,BBDD
77,48076,224,5,42,46,48076,224,4,205,0,BBCC
78,48110,559,1,42,47,48110,559,1,101,0,BBEE
78,48127,188,2,42,47,48127,188,1,104,0,BBFF
78,52258,494,3,42,47,52258,494,2,388,7,CC22
79,48110,564,1,42,48,48110,564,1,102,0,BBEE
79,48127,184,2,42,48,48127,184,1,105,0,BBFF
79,52326,180,3,42,48,52326,180,3,99,16,CC66
79,48093,452,4,42,48,48093,452,2,413,0,BBDD
80,48110,583,1,42,49,48110,583,1,103,0,BBEE
80,48127,185,2,42,49,48127,185,1,106,0,BBFF
80,52258,498,3,42,49,52258,498,2,389,7,CC22
81,48110,584,1,42,50,48110,584,1,104,0,BBEE
81,48127,188,2,42,50,48127,188,1,107,0,BBFF
81,52275,229,3,42,50,52275,229,4,187,1,CC33
81,48093,452,4,42,50,48093,452,2,414,0,BBDD
81,48076,258,5,42,50,48076,258,4,206,0,BBCC
82,48110,603,1,42,51,48110,603,1,105,0,BBEE
82,48127,184,2,42,51,48127,184,1,108,0,BBFF
82,52258,494,3,42,51,52258,494,2,390,7,CC22
83,48110,614,1,42,52,48110,614,1,106,0,BBEE
83,48127,183,2,42,52,48127,183,1,109,0,BBFF
83,48093,450,3,42,52,48093,450,2,415,0,BBDD
84,48110,621,1,42,53,48110,621,1,107,0,BBEE
84,48127,185,2,42,53,48127,185,1,110,0,BBFF
84,52258,494,3,42,53,52258,494,2,391,7,CC22
85,48110,623,1,42,54,48110,623,1,108,0,BBEE
85,48127,185,2,42,54,48127,185,1,111,0,BBFF
85,52326,197,3,42,54,52326,197,3,100,16,CC66
85,52275,243,4,42,54,52275,243,4,188,1,CC33
85,48093,462,5,42,54,48093,462,2,416,0,BBDD
85,48076,222,6,42,54,48076,222,4,207,0,BBCC
86,48110,609,1,42,55,48110,609,1,109,0,BBEE
86,48127,182,2,42,55,48127,182,1,112,0,BBFF
86,52258,491,3,42,55,52258,491,2,392,7,CC22
87,48110,619,1,42,56,48110,619,1,110,0,BBEE
87,48127,191,2,42,56,48127,191,1,113,0,BBFF
87,48093,453,3,42,56,48093,453,2,417,0,BBDD
88,48110,622,1,42,57,48110,622,1,111,0,BBEE
88,48127,182,2,42,57,48127,182,1,114,0,BBFF
88,52326,219,3,42,57,52326,219,3,101,16,CC66
88,52258,503,4,42,57,52258,503,2,393,7,CC22
89,48110,643,1,42,58,48110,643,1,112,0,BBEE
89,48127,186,2,42,58,48127,186,1,115,0,BBFF
89,52275,234,3,42,58,52275,234,4,189,1,CC33
89,48093,458,4,42,58,48093,458,2,418,0,BBDD
89,48076,235,5,42,58,48076,235,4,208,0,BBCC
90,48110,638,1,42,59,48110,638,1,113,0,BBEE
90,48127,186,2,42,59,48127,186,1,116,0,BBFF
90,52258,492,3,42,59,52258,492,2,394,7,CC22
91,48110,647,1,43,0,48110,647,1,114,0,BBEE
91,48127,189,2,43,0,48127,189,1,117,0,BBFF
91,52326,199,3,43,0,52326,199,3,102,16,CC66
91,48093,458,4,43,0,48093,458,2,419,0,BBDD
92,48127,183,1,43,1,48127,183,1,118,0,BBFF
92,52258,496,2,43,1,52258,496,2,395,7,CC22
93,48110,670,1,43,2,48110,670,1,115,0,BBEE
93,48127,187,2,43,2,48127,187,1,119,0,BBFF
93,52275,241,3,43,2,52275,241,4,190,1,CC33
93,48093,453,4,43,2,48093,453,2,420,0,BBDD
93,48076,252,5,43,2,48076,252,4,209,0,BBCC
94,48110,665,1,43,3,48110,665,1,116,0,BBEE
