time, tag_id, distance,,time1,, distance, times, interval, absence,,,,index, min, sec
92,48093,276,,142,,276,1,93,0,,,,4,9,22
93,48127,676,,143,,676,1,70,0,,,,1,9,23
93,52258,380,,143,,380,1,72,0,,,,2,9,23
93,48093,280,,143,,280,1,94,0,,,,3,9,23
94,48127,689,,144,,689,1,71,0,,,,1,9,24
94,52258,381,,144,,381,1,73,0,,,,2,9,24
94,48110,462,,144,,462,1,87,1,,,,3,9,24
94,48093,277,,144,,277,1,95,0,,,,4,9,24
95,48127,702,,145,,702,1,72,0,,,,1,9,25
95,52258,389,,145,,389,1,74,0,,,,2,9,25
95,48110,471,,145,,471,1,88,1,,,,3,9,25
95,48093,281,,145,,281,1,96,0,,,,4,9,25
96,48127,709,,146,,709,1,73,0,,,,1,9,26
96,52258,383,,146,,383,1,75,0,,,,2,9,26
96,48110,477,,146,,477,1,89,1,,,,3,9,26
96,48093,280,,146,,280,1,97,0,,,,4,9,26
97,48127,713,,147,,713,1,74,0,,,,1,9,27
97,52258,386,,147,,386,1,76,0,,,,2,9,27
97,48110,486,,147,,486,1,90,1,,,,3,9,27
97,48093,282,,147,,282,1,98,0,,,,4,9,27
98,48127,724,,148,,724,1,75,0,,,,1,9,28
98,52258,387,,148,,387,1,77,0,,,,2,9,28
98,48110,493,,148,,493,1,91,1,,,,3,9,28
98,48093,280,,148,,280,1,99,0,,,,4,9,28
99,48127,734,,149,,734,1,76,0,,,,1,9,29
99,52258,385,,149,,385,1,78,0,,,,2,9,29
99,48110,509,,149,,509,1,92,1,,,,3,9,29
99,48093,283,,149,,283,1,100,0,,,,4,9,29
100,48127,743,,150,,743,1,77,0,,,,1,9,30
100,52258,389,,150,,389,1,79,0,,,,2,9,30
100,48110,522,,150,,522,1,93,1,,,,3,9,30
100,48093,280,,150,,280,1,101,0,,,,4,9,30
101,48127,762,,151,,762,1,78,0,,,,1,9,31
101,52258,382,,151,,382,1,80,0,,,,2,9,31
101,48110,532,,151,,532,1,94,1,,,,3,9,31
101,48093,275,,151,,275,1,102,0,,,,4,9,31
102,48127,764,,152,,764,1,79,0,,,,1,9,32
102,52258,382,,152,,382,1,81,0,,,,2,9,32
102,48110,548,,152,,548,1,95,1,,,,3,9,32
102,48093,281,,152,,281,1,103,0,,,,4,9,32
103,48127,772,,153,,772,1,80,0,,,,1,9,33
103,52258,384,,153,,384,1,82,0,,,,2,9,33
103,48110,550,,153,,550,1,96,1,,,,3,9,33
103,48093,279,,153,,279,1,104,0,,,,4,9,33
104,48127,783,,154,,783,1,81,0,,,,1,9,34
104,52258,384,,154,,384,1,83,0,,,,2,9,34
104,48110,561,,154,,561,1,97,1,,,,3,9,34
104,48093,277,,154,,277,1,105,0,,,,4,9,34
105,48127,796,,155,,796,1,82,0,,,,1,9,35
105,52258,386,,155,,386,1,84,0,,,,2,9,35
105,48110,569,,155,,569,1,98,1,,,,3,9,35
