index,min,, sec, tag_id, distance,times, interval,  absence
2,8,,50,0xbbdd,333,24,1,2
3,8,,50,0xcc11,296,34,1,0
4,8,,50,0xbbee,222,37,1,2
5,8,,50,0xcc33,315,48,1,1
6,8,,50,0xcc66,201,60,1,0
,,,,,,,,
1,8,,51,0xcc22,218,3,1,2
2,8,,51,0xbbdd,334,25,1,2
3,8,,51,0xcc11,295,35,1,0
4,8,,51,0xbbee,221,38,1,2
5,8,,51,0xcc33,313,49,1,1
6,8,,51,0xcc66,198,61,1,0
7,8,,51,0xbbff,324,18,1,6
,,,,,,,,
1,8,,52,0xcc22,220,4,1,2
2,8,,52,0xbbdd,338,26,1,2
3,8,,52,0xcc11,297,36,1,0
4,8,,52,0xbbee,223,39,1,2
5,8,,52,0xcc33,314,50,1,1
6,8,,52,0xcc66,197,62,1,0
7,8,,52,0xbbff,318,19,1,6
,,,,,,,,
1,8,,53,0xcc22,220,5,1,2
2,8,,53,0xcc11,294,37,1,0
3,8,,53,0xbbee,222,40,1,2
4,8,,53,0xcc33,312,51,1,1
5,8,,53,0xcc66,198,63,1,0
6,8,,53,0xbbff,321,20,1,6
,,,,,,,,
1,8,,54,0xcc22,218,6,1,2
2,8,,54,0xbbdd,339,27,1,2
3,8,,54,0xcc11,292,38,1,0
4,8,,54,0xbbee,223,41,1,2
5,8,,54,0xcc33,314,52,1,1
6,8,,54,0xcc66,199,64,1,0
,,,,,,,,
1,8,,55,0xcc22,219,7,1,2
2,8,,55,0xbbdd,334,28,1,2
3,8,,55,0xcc11,292,39,1,0
4,8,,55,0xbbee,223,42,1,2
5,8,,55,0xcc33,317,53,1,1
6,8,,55,0xcc66,197,65,1,0
,,,,,,,,
1,8,,56,0xbbdd,333,29,1,2
2,8,,56,0xcc11,295,40,1,0
3,8,,56,0xbbee,223,43,1,2
4,8,,56,0xcc33,318,54,1,1
5,8,,56,0xcc66,198,66,1,0
6,8,,56,0xbbff,320,21,1,6
,,,,,,,,
1,8,,57,0xcc22,223,8,1,2
2,8,,57,0xbbdd,343,30,1,2
3,8,,57,0xcc11,295,41,1,0
4,8,,57,0xbbee,221,44,1,2
5,8,,57,0xcc33,313,55,1,1
6,8,,57,0xcc66,197,67,1,0
,,,,,,,,
1,8,,58,0xbbdd,332,31,1,2
2,8,,58,0xcc11,291,42,1,0
3,8,,58,0xbbee,224,45,1,2
4,8,,58,0xcc33,317,56,1,1
5,8,,58,0xcc66,197,68,1,0
,,,,,,,,
1,8,,59,0xcc22,218,9,1,2
2,8,,59,0xbbdd,339,32,1,2
3,8,,59,0xcc11,298,43,1,0
4,8,,59,0xbbee,224,46,1,2
5,8,,59,0xcc33,316,57,1,1
6,8,,59,0xcc66,194,69,1,0
,,,,,,,,
1,9,,0,0xbbdd,337,33,1,2
2,9,,0,0xcc11,297,44,1,0
3,9,,0,0xbbee,223,47,1,2
4,9,,0,0xcc33,318,58,1,1
5,9,,0,0xcc66,196,70,1,0
,,,,,,,,
1,9,,1,0xcc22,224,10,1,3
2,9,,1,0xbbdd,336,34,1,2
3,9,,1,0xcc11,299,45,1,0
4,9,,1,0xbbee,224,48,1,2
5,9,,1,0xcc33,315,59,1,1
6,9,,1,0xcc66,198,71,1,0
,,,,,,,,
1,9,,2,0xcc22,221,11,1,3
2,9,,2,0xbbdd,336,35,1,2
3,9,,2,0xcc11,295,46,1,0
4,9,,2,0xbbee,222,49,1,2
5,9,,2,0xcc33,313,60,1,1
6,9,,2,0xcc66,199,72,1,0
,,,,,,,,
1,9,,3,0xbbdd,337,36,1,2
2,9,,3,0xcc11,299,47,1,0
3,9,,3,0xbbee,224,50,1,2
4,9,,3,0xcc33,321,61,1,1
5,9,,3,0xcc66,197,73,1,0
,,,,,,,,
1,9,,4,0xbbdd,329,37,1,2
2,9,,4,0xcc11,296,48,1,0
3,9,,4,0xbbee,223,51,1,2
4,9,,4,0xcc33,314,62,1,1
5,9,,4,0xcc66,196,74,1,0
,,,,,,,,
1,9,,5,0xcc22,216,12,1,4
2,9,,5,0xbbdd,339,38,1,2
3,9,,5,0xcc11,297,49,1,0
4,9,,5,0xbbee,223,52,1,2
5,9,,5,0xcc33,314,63,1,1
6,9,,5,0xcc66,197,75,1,0
,,,,,,,,
1,9,,5,0xbbdd,328,39,1,2
2,9,,5,0xcc11,292,50,1,0
3,9,,5,0xbbee,223,53,1,2
4,9,,5,0xcc33,317,64,1,1
5,9,,5,0xcc66,198,76,1,0
,,,,,,,,
1,9,,7,0xcc22,221,13,1,4
2,9,,7,0xbbdd,339,40,1,2
3,9,,7,0xcc11,297,51,1,0
4,9,,7,0xbbee,223,54,1,2
5,9,,7,0xcc33,313,65,1,1
6,9,,7,0xcc66,204,77,1,0
,,,,,,,,
