min, sec, tag_id, distance,times, interval,  absence
56,32,0xcc33,323,62,1,3
56,32,0xcc66,206,75,1,0
56,32,0xbbff,317,69,1,2

56,33,0xcc22,217,10,1,0
56,33,0xbbdd,334,17,1,0
56,33,0xcc11,307,24,1,0
56,33,0xbbee,230,49,1,5
56,33,0xcc33,319,63,1,3
56,33,0xcc66,204,76,1,0
56,33,0xbbff,318,70,1,2

56,34,0xcc22,217,11,1,0
56,34,0xbbdd,336,18,1,0
56,34,0xcc11,310,25,1,0
56,34,0xbbee,222,50,1,5
56,34,0xcc33,323,64,1,3
56,34,0xcc66,203,77,1,0
56,34,0xbbff,319,71,1,2

56,35,0xcc22,219,12,1,0
56,35,0xbbdd,340,19,1,0
56,35,0xcc11,306,26,1,0
56,35,0xbbee,226,51,1,5
56,35,0xcc33,318,65,1,3
56,35,0xcc66,202,78,1,0
56,35,0xbbff,322,72,1,2

56,36,0xcc22,220,13,1,0
56,36,0xbbdd,335,20,1,0
56,36,0xcc11,304,27,1,0
56,36,0xbbee,227,52,1,5
56,36,0xcc33,317,66,1,3
56,36,0xcc66,200,79,1,0
56,36,0xbbff,319,73,1,2

56,37,0xcc22,219,14,1,0
56,37,0xbbdd,342,21,1,0
56,37,0xcc11,305,28,1,0
56,37,0xbbee,223,53,1,5
56,37,0xcc33,319,67,1,3
56,37,0xcc66,203,80,1,0

56,38,0xcc22,218,15,1,0
56,38,0xbbdd,338,22,1,0
56,38,0xcc11,299,29,1,0
56,38,0xbbee,225,54,1,5
56,38,0xcc33,325,68,1,3
56,38,0xcc66,205,81,1,0
56,38,0xbbff,319,74,1,2

56,39,0xcc22,219,16,1,0
56,39,0xbbdd,333,23,1,0
56,39,0xcc11,302,30,1,0
56,39,0xbbee,226,55,1,5
56,39,0xcc33,320,69,1,3
56,39,0xcc66,206,82,1,0
56,39,0xbbff,321,75,1,2

56,40,0xcc22,219,17,1,0
56,40,0xcc11,302,31,1,0
56,40,0xcc33,325,70,1,3
56,40,0xcc66,209,83,1,0
56,40,0xbbff,317,76,1,2

56,41,0xcc22,214,18,1,0
56,41,0xbbdd,335,24,1,1
56,41,0xcc11,299,32,1,0
56,41,0xbbee,227,56,1,5
56,41,0xcc33,321,71,1,3
56,41,0xcc66,204,84,1,0

56,42,0xcc22,216,19,1,0
56,42,0xbbdd,337,25,1,1
56,42,0xcc11,298,33,1,0
56,42,0xbbee,225,57,1,5
56,42,0xcc33,321,72,1,3
56,42,0xcc66,202,85,1,0

56,43,0xcc22,219,20,1,0
56,43,0xbbdd,333,26,1,1
56,43,0xcc11,302,34,1,0
56,43,0xbbee,226,58,1,5
56,43,0xcc33,323,73,1,3
56,43,0xcc66,204,86,1,0
56,43,0xbbff,318,77,1,2

56,44,0xcc22,215,21,1,0
56,44,0xbbdd,336,27,1,1
56,44,0xcc11,302,35,1,0
56,44,0xbbee,222,59,1,5
56,44,0xcc33,314,74,1,3
56,44,0xcc66,202,87,1,0
56,44,0xbbff,319,78,1,2

56,45,0xcc22,218,22,1,0
56,45,0xbbdd,337,28,1,1
56,45,0xcc11,302,36,1,0
56,45,0xbbee,225,60,1,5
56,45,0xcc33,320,75,1,3
56,45,0xcc66,205,88,1,0
56,45,0xbbff,323,79,1,2

56,46,0xcc22,220,23,1,0
56,46,0xbbdd,335,29,1,1
56,46,0xcc11,299,37,1,0
56,46,0xbbee,223,61,1,5
56,46,0xcc33,327,76,1,3
56,46,0xcc66,207,89,1,0
56,46,0xbbff,319,80,1,2

56,47,0xcc22,218,24,1,0
56,47,0xbbdd,336,30,1,1
56,47,0xcc11,302,38,1,0
56,47,0xbbee,227,62,1,5
56,47,0xcc66,199,90,1,0
56,47,0xbbff,318,81,1,2

56,48,0xcc22,220,25,1,0
56,48,0xbbdd,335,31,1,1
56,48,0xcc11,300,39,1,0
56,48,0xbbee,226,63,1,5
56,48,0xcc33,318,77,1,3
56,48,0xcc66,203,91,1,0
56,48,0xbbff,319,82,1,2

56,49,0xcc22,220,26,1,0
56,49,0xbbdd,337,32,1,1
56,49,0xcc11,300,40,1,0
56,49,0xbbee,225,64,1,5
56,49,0xcc33,323,78,1,3
56,49,0xcc66,207,92,1,0
56,49,0xbbff,325,83,1,2

56,50,0xcc22,227,27,1,0
56,50,0xbbdd,337,33,1,1
56,50,0xcc11,302,41,1,0
56,50,0xbbee,227,65,1,5
56,50,0xcc33,322,79,1,3
56,50,0xcc66,205,93,1,0
56,50,0xbbff,321,84,1,2

56,51,0xcc22,218,28,1,0
56,51,0xbbdd,339,34,1,1
56,51,0xcc11,302,42,1,0
56,51,0xbbee,226,66,1,5
56,51,0xcc33,318,80,1,3
56,51,0xcc66,206,94,1,0
56,51,0xbbff,322,85,1,2

56,52,0xcc22,215,29,1,0
56,52,0xbbdd,335,35,1,1
56,52,0xcc11,301,43,1,0
56,52,0xbbee,224,67,1,5
56,52,0xcc33,318,81,1,3
56,52,0xcc66,211,95,1,0

56,53,0xcc22,216,30,1,0
56,53,0xbbdd,335,36,1,1
56,53,0xcc11,301,44,1,0
56,53,0xcc33,314,82,1,3
56,53,0xcc66,198,96,1,0
56,53,0xbbff,322,86,1,2

56,59,0xcc22,224,31,1,0
56,59,0xbbdd,337,37,1,1
56,59,0xcc11,301,45,1,0
56,59,0xbbee,228,68,1,5
56,59,0xcc33,325,83,1,3
56,59,0xcc66,204,97,1,0

56,59,0xcc22,220,32,1,0
56,59,0xbbdd,337,38,1,1
56,59,0xcc11,300,46,1,0
56,59,0xbbee,225,69,1,5
56,59,0xcc33,318,84,1,3
56,59,0xcc66,203,98,1,0
