index, min, sec, tag_id, distance, times, interval, absence
1,35,58,48110,679,1,403,3
2,35,58,48127,884,1,413,0
3,35,58,52258,487,2,206,1

1,35,59,48110,690,1,404,3
2,35,59,48093,445,2,207,0
3,35,59,52241,566,2,206,0
4,35,59,48127,884,1,414,0

1,36,0,48110,709,1,405,3
2,36,0,48127,887,1,415,0
3,36,0,52258,491,2,207,1

1,36,1,52275,233,4,85,0
2,36,1,52326,180,3,94,25
3,36,1,48093,454,2,208,0
4,36,1,48076,235,4,105,0
5,36,1,52241,561,2,207,0
6,36,1,48127,871,1,416,0

1,36,2,48110,719,1,406,3
2,36,2,48127,876,1,417,0
3,36,2,52258,488,2,208,1

1,36,3,48093,455,2,209,0
2,36,3,52241,564,2,208,0
3,36,3,48127,850,1,418,0

1,36,4,48110,739,1,407,4
2,36,4,48127,802,1,419,0
3,36,4,52258,502,2,209,1

1,36,5,52275,244,4,86,0
2,36,5,48110,755,1,408,4
3,36,5,48093,446,2,210,0
4,36,5,48076,216,4,106,0
5,36,5,52241,567,2,209,0
6,36,5,48127,810,1,420,0

1,36,6,48110,770,1,409,4
2,36,6,48127,807,1,421,0
3,36,6,52258,496,2,210,1

1,36,7,48110,777,1,410,4
2,36,7,48093,446,2,211,0
3,36,7,52241,569,2,210,0
4,36,7,48127,806,1,422,0

1,36,8,48110,791,1,411,4
2,36,8,48127,808,1,423,0
3,36,8,52258,492,2,211,1

1,36,9,52275,234,4,87,0
2,36,9,48110,795,1,412,4
3,36,9,48093,448,2,212,0
4,36,9,48076,235,4,107,0
5,36,9,52241,563,2,211,0
6,36,9,48127,810,1,424,0

1,36,10,48127,813,1,425,0
2,36,10,52258,491,2,212,1

1,36,11,48110,813,1,413,5
2,36,11,48093,450,2,213,0
3,36,11,52241,561,2,212,0
4,36,11,48127,811,1,426,0

1,36,12,48110,840,1,414,5
2,36,12,48127,809,1,427,0
3,36,12,52258,486,2,213,1

1,36,13,52275,238,4,88,0
2,36,13,48110,858,1,415,5
3,36,13,48093,453,2,214,0
4,36,13,48076,225,4,108,0
5,36,13,52241,558,2,213,0
6,36,13,48127,816,1,428,0

1,36,15,48110,850,1,416,5
2,36,15,48127,821,1,429,0
3,36,15,52258,491,2,214,1

1,36,16,48110,837,1,417,5
2,36,16,48093,452,2,215,0
3,36,16,52241,566,2,214,0
4,36,16,48127,806,1,430,0

1,36,16,48110,825,1,418,5
2,36,16,48127,817,1,431,0
3,36,16,52258,495,2,215,1

1,36,17,52275,257,4,89,0
2,36,17,48110,797,1,419,5
3,36,17,48093,445,2,216,0
4,36,17,48076,226,4,109,0
5,36,17,52241,561,2,215,0
6,36,17,48127,806,1,432,0

1,36,18,48110,798,1,420,5
2,36,18,48127,812,1,433,0
3,36,18,52258,488,2,216,1

1,36,19,48110,820,1,421,5
2,36,19,48093,448,2,217,0
3,36,19,52241,563,2,216,0
4,36,19,48127,809,1,434,0

1,36,20,48110,810,1,422,5
2,36,20,48127,815,1,435,0
3,36,20,52258,494,2,217,1

1,36,21,52275,242,4,90,0
2,36,21,48110,825,1,423,5
3,36,21,48093,446,2,218,0
4,36,21,48076,225,4,110,0
5,36,21,52241,566,2,217,0
6,36,21,48127,813,1,436,0

1,36,22,48110,806,1,424,5
2,36,22,48127,807,1,437,0
3,36,22,52258,500,2,218,1

1,36,23,48110,886,1,425,5
2,36,23,48093,450,2,219,0
3,36,23,52241,560,2,218,0
4,36,23,48127,810,1,438,0

1,36,24,48110,778,1,426,5
2,36,24,48127,812,1,439,0
3,36,24,52258,490,2,219,1

1,36,25,52275,234,4,91,0
2,36,25,48110,706,1,427,5
3,36,25,48093,454,2,220,0
4,36,25,48076,241,4,111,0
5,36,25,52241,559,2,219,0
6,36,25,48127,814,1,440,0

1,36,26,48110,707,1,428,5
2,36,26,48127,810,1,441,0
3,36,26,52258,486,2,220,1

1,36,27,48110,721,1,429,5
2,36,27,48093,453,2,221,0
3,36,27,52241,561,2,220,0
4,36,27,48127,810,1,442,0

1,36,28,48110,706,1,430,5
2,36,28,48127,812,1,443,0
3,36,28,52258,496,2,221,1

1,36,29,52275,231,4,92,0
2,36,29,48110,708,1,431,5
3,36,29,48093,446,2,222,0
4,36,29,48076,236,4,112,0
5,36,29,52241,566,2,221,0
6,36,29,48127,813,1,444,0

1,36,30,48127,813,1,445,0
2,36,30,52258,490,2,222,1

1,36,31,48093,448,2,223,0
2,36,31,52241,565,2,222,0
3,36,31,48127,812,1,446,0

1,36,32,52258,480,2,223,1

1,36,33,52275,257,4,93,0
2,36,33,48093,449,2,224,0
3,36,33,48076,228,4,113,0
4,36,33,52241,565,2,223,0

1,36,34,48127,816,1,447,0
2,36,34,52258,492,2,224,1

1,36,35,48110,715,1,432,8
2,36,35,48093,455,2,225,0
3,36,35,52241,558,2,224,0
4,36,35,48127,810,1,448,0

